         11057 function calls (10871 primitive calls) in 5.376 seconds

   Ordered by: cumulative time
   List reduced from 178 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    60/36    0.017    0.000    5.376    0.149 /tmp/oldbook-caption-construction-profile.py:37(observe)
       12    2.198    0.183    2.880    0.240 /home/jack/.files/alpine/desktop/.local/bin/oldbook-decoration:87(__init__)
       12    0.182    0.015    2.135    0.178 /home/jack/.files/alpine/desktop/.local/bin/oldbook-decoration:423(update)
       12    1.676    0.140    1.681    0.140 /home/jack/.files/alpine/desktop/.local/bin/oldbook-decoration:179(place)
       12    0.333    0.028    0.344    0.029 /home/jack/.files/alpine/desktop/.local/bin/oldbook-decoration:492(destroy)
      108    0.276    0.003    0.290    0.003 /home/jack/.files/alpine/desktop/.local/bin/oldbook-decoration:255(button)
       12    0.002    0.000    0.235    0.020 /home/jack/.files/alpine/desktop/.local/bin/oldbook-decoration:372(restyle)
       12    0.232    0.019    0.232    0.019 /usr/lib/python3.14/site-packages/gi/overrides/Gtk.py:1797(load_from_data)
  166/160    0.051    0.000    0.176    0.001 /usr/lib/python3.14/site-packages/gi/overrides/__init__.py:31(__getattr__)
       72    0.166    0.002    0.168    0.002 /usr/lib/python3.14/site-packages/gi/overrides/__init__.py:294(new_init)
  358/238    0.018    0.000    0.127    0.001 {built-in method builtins.getattr}
    30/24    0.002    0.000    0.121    0.005 /usr/lib/python3.14/site-packages/gi/module.py:120(__getattr__)
       12    0.000    0.000    0.067    0.006 /usr/lib/python3.14/site-packages/gi/overrides/Gtk.py:569(__init__)
       15    0.001    0.000    0.054    0.004 /usr/lib/python3.14/site-packages/gi/types.py:244(__init__)
       12    0.002    0.000    0.053    0.004 /home/jack/.files/alpine/desktop/.local/lib/oldbook/decoration_actions.py:110(launchers)
        6    0.001    0.000    0.053    0.009 {built-in method gi._gi.enum_add}
       13    0.003    0.000    0.050    0.004 /usr/lib/python3.14/site-packages/gi/types.py:50(_setup_methods)
       48    0.004    0.000    0.047    0.001 /usr/lib/python3.14/shutil.py:1561(which)
    60/33    0.005    0.000    0.036    0.001 {built-in method __new__ of type object at 0x7f3ff9aa21a0}
        6    0.006    0.001    0.035    0.006 /usr/lib/python3.14/enum.py:480(__new__)
       12    0.000    0.000    0.034    0.003 /usr/lib/python3.14/site-packages/gi/overrides/Gtk.py:1551(__init__)
        3    0.000    0.000    0.030    0.010 /usr/lib/python3.14/site-packages/gi/_enum.py:30(__new__)
      293    0.028    0.000    0.028    0.000 {built-in method builtins.setattr}
      120    0.028    0.000    0.028    0.000 {built-in method time.process_time}
       27    0.016    0.001    0.025    0.001 /usr/lib/python3.14/enum.py:239(__set_name__)
       30    0.000    0.000    0.019    0.001 /usr/lib/python3.14/site-packages/gi/docstring.py:50(generate_doc_string)
       30    0.000    0.000    0.019    0.001 /usr/lib/python3.14/site-packages/gi/docstring.py:191(_generate_doc_dispatch)
       30    0.015    0.001    0.019    0.001 /usr/lib/python3.14/site-packages/gi/docstring.py:109(_generate_callable_info_doc)
       36    0.018    0.000    0.018    0.000 <frozen os>:863(fsdecode)
       42    0.001    0.000    0.015    0.000 /usr/lib/python3.14/enum.py:342(__setitem__)
      168    0.003    0.000    0.013    0.000 <frozen posixpath>:72(join)
       27    0.012    0.000    0.012    0.000 /usr/lib/python3.14/enum.py:36(_is_descriptor)
       15    0.000    0.000    0.010    0.001 /usr/lib/python3.14/site-packages/gi/types.py:208(__new__)
      156    0.001    0.000    0.009    0.000 /usr/lib/python3.14/shutil.py:1546(_access_check)
       63    0.001    0.000    0.007    0.000 {built-in method builtins.delattr}
      228    0.007    0.000    0.007    0.000 {method 'connect' of 'gi._gi.GObject' objects}
       63    0.007    0.000    0.007    0.000 /usr/lib/python3.14/enum.py:747(__delattr__)
       15    0.000    0.000    0.006    0.000 /usr/lib/python3.14/site-packages/gi/types.py:268(mro)
      156    0.001    0.000    0.006    0.000 <frozen genericpath>:16(exists)
       15    0.006    0.000    0.006    0.000 /usr/lib/python3.14/site-packages/gi/types.py:288(mro)


