         6722 function calls (6536 primitive calls) in 5.026 seconds

   Ordered by: cumulative time
   List reduced from 179 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    49/25    0.003    0.000    5.026    0.201 /tmp/oldbook-caption-reuse-profile.py:37(observe)
       12    0.405    0.034    2.785    0.232 /home/jack/.files/alpine/desktop/.local/bin/oldbook-decoration:423(update)
       12    2.260    0.188    2.264    0.189 /home/jack/.files/alpine/desktop/.local/bin/oldbook-decoration:179(place)
        1    1.795    1.795    2.092    2.092 /home/jack/.files/alpine/desktop/.local/bin/oldbook-decoration:87(__init__)
    30/24    0.002    0.000    0.194    0.008 /usr/lib/python3.14/site-packages/gi/module.py:120(__getattr__)
    56/50    0.001    0.000    0.153    0.003 /usr/lib/python3.14/site-packages/gi/overrides/__init__.py:31(__getattr__)
  226/106    0.001    0.000    0.152    0.001 {built-in method builtins.getattr}
       98    0.131    0.001    0.131    0.001 {built-in method time.process_time}
        9    0.056    0.006    0.116    0.013 /home/jack/.files/alpine/desktop/.local/bin/oldbook-decoration:255(button)
       15    0.001    0.000    0.082    0.005 /usr/lib/python3.14/site-packages/gi/types.py:244(__init__)
        1    0.080    0.080    0.080    0.080 /home/jack/.files/alpine/desktop/.local/bin/oldbook-decoration:492(destroy)
    49/22    0.040    0.001    0.065    0.003 {built-in method __new__ of type object at 0x7f50f38a21a0}
       13    0.025    0.002    0.062    0.005 /usr/lib/python3.14/site-packages/gi/types.py:50(_setup_methods)
        6    0.001    0.000    0.061    0.010 {built-in method gi._gi.enum_add}
        6    0.017    0.003    0.053    0.009 /usr/lib/python3.14/enum.py:480(__new__)
       12    0.000    0.000    0.046    0.004 /home/jack/.files/alpine/desktop/.local/bin/oldbook-decoration:372(restyle)
        1    0.046    0.046    0.046    0.046 /usr/lib/python3.14/site-packages/gi/overrides/Gtk.py:1797(load_from_data)
       10    0.000    0.000    0.037    0.004 /usr/lib/python3.14/site-packages/gi/module.py:85(get_interfaces_for_object)
        6    0.036    0.006    0.036    0.006 /usr/lib/python3.14/site-packages/gi/overrides/__init__.py:294(new_init)
        1    0.000    0.000    0.035    0.035 /usr/lib/python3.14/site-packages/gi/overrides/Gtk.py:569(__init__)
        3    0.000    0.000    0.032    0.011 /usr/lib/python3.14/site-packages/gi/_enum.py:30(__new__)
       15    0.000    0.000    0.030    0.002 /usr/lib/python3.14/site-packages/gi/types.py:208(__new__)
     10/7    0.000    0.000    0.024    0.003 /usr/lib/python3.14/site-packages/gi/module.py:59(get_parent_for_object)
        3    0.019    0.006    0.019    0.006 {method 'get_methods' of 'InterfaceInfo' objects}
      293    0.018    0.000    0.018    0.000 {built-in method builtins.setattr}
       13    0.000    0.000    0.017    0.001 /usr/lib/python3.14/site-packages/gi/types.py:142(_setup_native_vfuncs)
       18    0.000    0.000    0.016    0.001 /usr/lib/python3.14/importlib/__init__.py:71(import_module)
       18    0.015    0.001    0.016    0.001 <frozen importlib._bootstrap>:1394(_gcd_import)
       27    0.003    0.000    0.015    0.001 /usr/lib/python3.14/enum.py:239(__set_name__)
       27    0.010    0.000    0.011    0.000 /usr/lib/python3.14/enum.py:1042(_add_member_)
       15    0.000    0.000    0.010    0.001 /usr/lib/python3.14/site-packages/gi/types.py:268(mro)
       15    0.010    0.001    0.010    0.001 /usr/lib/python3.14/site-packages/gi/types.py:288(mro)
       10    0.009    0.001    0.009    0.001 {method 'get_methods' of 'ObjectInfo' objects}
        1    0.000    0.000    0.009    0.009 /home/jack/.files/alpine/desktop/.local/lib/oldbook/decoration_actions.py:110(launchers)
       30    0.000    0.000    0.007    0.000 /usr/lib/python3.14/site-packages/gi/docstring.py:50(generate_doc_string)
       30    0.000    0.000    0.007    0.000 /usr/lib/python3.14/site-packages/gi/docstring.py:191(_generate_doc_dispatch)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.14/pathlib/__init__.py:251(__str__)
       30    0.003    0.000    0.006    0.000 /usr/lib/python3.14/site-packages/gi/docstring.py:109(_generate_callable_info_doc)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.14/pathlib/__init__.py:341(drive)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.14/pathlib/__init__.py:281(_parse_path)


